"","PMhd","diasFriday","diasMonday","diasSaturday","diasSunday","diasThursday","diasTuesday","diasWednesday","PMhd7","PMh1d","PMmax","CO","Temp","Hum","N","E","S","O","FECHA","HORA","CERRILLOS","INDEPENDENCIA","CONDES","ELBOSQUE","PARQUE","TALAGANTE","QUILICURA","PUDAHUEL","CERRONAVIA","LAFLORIDA","PUENTEALTO","hour"
"17688",12,0,0,9,0,0,0,0,9,16,0,0.4,17.42,73.5,0,0,1.946,0,"06-01-2013",0,4,4,13,8,4,5,18,3,5,8,11,1
"17689",14,0,0,10,0,0,0,0,7,12,16,0.3,16.64,77.17,0,0,1.962,0,"07-01-2013",100,8,6,6,18,7,4,12,5,6,20,17,2
"17690",13,0,0,10,0,0,0,0,7,14,16,0.3,15.87,80.83,0,0,1.87,0,"07-01-2013",200,7,8,9,19,7,4,10,4,6,11,18,3
"17691",14,0,0,15,0,0,0,0,8,13,16,0.3,14.98,85.33,0,0,1.686,0,"07-01-2013",300,5,5,12,15,10,4,8,4,5,11,17,4
"17692",15,0,0,20,0,0,0,0,10,14,16,0.3,14.84,60.25,0,0,1.408,0,"07-01-2013",400,6,13,8,11,9,5,9,6,7,9,20,5
"17693",26,0,0,27,0,0,0,0,12,15,16,0.3,14.52,87.33,0,0,0.9601,0,"07-01-2013",500,8,8,7,13,7,6,11,6,8,13,24,6
"17694",32,0,0,27,0,0,0,0,16,26,26,0.5,15.74,82.5,0,0,0,0.2185,"07-01-2013",600,11,9,7,17,12,13,14,9,11,16,24,7
"17695",29,0,0,23,0,0,0,0,13,32,32,0.5,18.8,69.25,0,0,0.6393,0,"07-01-2013",700,12,11,7,14,12,11,14,12,12,13,21,8
"17696",40,0,0,28,0,0,0,0,19,29,32,0.4,20.62,62.67,0,0,1.056,0,"07-01-2013",800,12,16,10,13,16,11,13,10,12,10,23,9
"17697",38,0,0,24,0,0,0,0,40,40,40,0.4,23.02,54.17,0,0,1.21,0,"07-01-2013",900,16,14,11,11,18,13,15,13,12,13,23,10
"17698",33,0,0,20,0,0,0,0,34,38,40,0.3,24.95,48.83,0,0,1.813,0,"07-01-2013",1000,29,16,15,22,21,12,16,14,14,16,47,11
"17699",24,0,0,21,0,0,0,0,26,33,40,0.3,26.88,43.75,0,0,2.462,0,"07-01-2013",1100,15,21,17,10,28,16,20,19,20,23,35,12
"17700",26,0,0,35,0,0,0,0,15,24,40,0.2,28.09,38.33,0,0,3.404,0,"07-01-2013",1200,11,14,22,16,13,9,14,10,12,9,25,13
"17701",21,0,0,26,0,0,0,0,17,26,40,0.2,29.24,33.33,0,0,4.009,0,"07-01-2013",1300,8,12,19,4,14,10,10,6,8,15,20,14
"17702",20,0,0,31,0,0,0,0,22,21,40,0.2,30.19,31.42,0,0,4.848,0,"07-01-2013",1400,8,1,14,5,12,12,5,2,7,3,32,15
"17703",21,0,0,33,0,0,0,0,19,20,40,0.2,30.67,28.08,0,0,5.439,0,"07-01-2013",1500,8,10,12,11,10,10,10,12,10,6,32,16
"17704",22,0,0,30,0,0,0,0,21,21,40,0.2,30.52,28.75,0,0,5.937,0,"07-01-2013",1600,8,10,8,18,6,10,11,2,4,51,36,17
"17705",24,0,0,29,0,0,0,0,20,22,40,0.2,29.51,29,0,0,6.422,0,"07-01-2013",1700,20,13,9,14,12,8,17,11,12,10,52,18
"17706",24,0,0,25,0,0,0,0,23,24,40,0.2,28.28,32.5,0,0,5.979,0,"07-01-2013",1800,16,27,13,15,18,5,14,15,13,6,29,19
"17707",23,0,0,22,0,0,0,0,20,24,40,0.2,25.86,41.25,0,0,5.375,0,"07-01-2013",1900,7,11,14,5,8,8,7,7,10,5,16,20
"17708",23,0,0,23,0,0,0,0,18,23,40,0.3,23.57,47.67,0,0,4.617,0,"07-01-2013",2000,5,6,10,6,4,7,6,5,7,3,22,21
"17709",18,0,0,18,0,0,0,0,12,23,40,0.3,22.16,52.58,0,0,2.97,0,"07-01-2013",2100,8,8,14,7,6,6,8,7,6,2,14,22
"17710",19,0,0,17,0,0,0,0,12,18,40,0.2,21.39,51.33,0,0,2.71,0,"07-01-2013",2200,8,8,11.5,10,6,6,8,6,10,5,10,23
"17711",27,0,0,16,0,0,0,0,11,19,40,0.2,21.12,48.25,0,0,0.7899,0,"07-01-2013",2300,6,6,1,12,4,7,6,5,6,7,14,24
"17712",33,0,0,0,12,0,0,0,12,27,40,0.5,20.51,51.67,0,0,0.7324,0,"07-01-2013",0,5,5,16.17,8,4,7,4,4,6,2,15,1
"17713",30,0,0,0,14,0,0,0,12,33,40,0.7,19.24,59.83,0,0,0.9116,0,"08-01-2013",100,7,4,12,9,7,8,6,4,5,5,13,2
"17714",28,0,0,0,13,0,0,0,9,30,40,0.6,18.03,66.83,0,0,1.246,0,"08-01-2013",200,5,5,6,12,7,5,7,3,5,7,12,3
"17715",29,0,0,0,14,0,0,0,10,28,40,0.5,17.7,67.83,0,0,0.6757,0,"08-01-2013",300,7,4,10,10,6,7,9,6,6,5,12,4
"17716",33,0,0,0,15,0,0,0,11,29,40,0.7,17.61,63.25,0.8047,0,0,0,"08-01-2013",400,8,5,17,13,8,8,13,8,10,8,16,5
"17717",42,0,0,0,26,0,0,0,12,33,40,0.6,17.59,68.17,0,0,0,0.2414,"08-01-2013",500,12,11,7,12,12,14,15,8,11,11,22,6
"17718",48,0,0,0,32,0,0,0,11,42,42,0.8,18.19,67.33,0,0.7227,0,0,"08-01-2013",600,17,20,13,20,22,14,21,13,16,17,24,7
"17719",39,0,0,0,29,0,0,0,11,48,48,0.7,22.17,52.92,0,0.0755,0,0,"08-01-2013",700,27,18,11,21,27,15,18,18,21,17,25,8
"17720",37,0,0,0,40,0,0,0,12,39,48,0.4,24.23,43.92,0,0,0,0.3505,"08-01-2013",800,18,13,20,14,20,16,15,17,16,12,26,9
"17721",43,0,0,0,38,0,0,0,15,37,48,0.4,26.33,37.67,0,0,0.5968,0,"08-01-2013",900,13,16,13,15,17,13,12,15,12,13,28,10
"17722",29,0,0,0,33,0,0,0,15,43,48,0.4,27.27,37.58,0,0,2.379,0,"08-01-2013",1000,16,18,15,21,14,15,17,13,14,15,58,11
"17723",22,0,0,0,24,0,0,0,14,29,48,0.4,28.75,32.83,0,0,3.629,0,"08-01-2013",1100,17,18,15,25,25,14,13,18,18,20,93,12
"17724",25,0,0,0,26,0,0,0,15,22,48,0.4,29.95,28.58,0,0,4.616,0,"08-01-2013",1200,16,29,18,16,18,14,15,10,14,22,46,13
"17725",37,0,0,0,21,0,0,0,14,25,48,0.3,29.92,27.08,0,0,6.317,0,"08-01-2013",1300,12,24,26,13,20,11,16,11,14,23,91,14
"17726",37,0,0,0,20,0,0,0,15,37,48,0.3,30.12,28.2,0,0,6.862,0,"08-01-2013",1400,14,13,18,14,15,20,21,14,16,21,89,15
"17727",28,0,0,0,21,0,0,0,15,37,48,0.4,29.17,31.42,0,0,7.385,0,"08-01-2013",1500,17,9,16,17,16,16,13,10,12,18,96,16
"17728",34,0,0,0,22,0,0,0,18,28,48,0.3,28.23,32.92,0,0,7.289,0,"08-01-2013",1600,21,18,15,18,20,19,18,15,17,14,56,17
"17729",23,0,0,0,24,0,0,0,15,34,48,0.4,26.87,36.17,0,0,6.64,0,"08-01-2013",1700,21,21,22,19,16,17,20,14,17,24,42,18
"17730",19,0,0,0,24,0,0,0,15,23,48,0.3,25.09,37.42,0,0,6.144,0,"08-01-2013",1800,31,29,21,18,26,16,17,17,26,12,30,19
"17731",34,0,0,0,23,0,0,0,14,19,48,0.3,23.42,37.67,0,0,5.664,0,"08-01-2013",1900,31,30,25,16,40,16,15,12,15,17,27,20
"17732",23,0,0,0,23,0,0,0,13,34,48,0.4,21.62,50,0,0,2.634,0,"08-01-2013",2000,29,40,29,18,36,20,16,11,16,15,33,21
"17733",19,0,0,0,18,0,0,0,10,23,48,0.4,20.29,58.25,0,0,1.748,0,"08-01-2013",2100,31,22,28,14,34,21,16,14,18,17,50,22
"17734",18,0,0,0,19,0,0,0,9,19,48,0.4,19.55,60.17,0,0,2.991,0,"08-01-2013",2200,20,22,21,14,28,19,19,17,21,22,55,23
"17735",26,0,0,0,27,0,0,0,8,18,48,0.3,19.03,61.17,0,0,2.077,0,"08-01-2013",2300,19,23,21,16,17,19,17,16,20,27,46,24
"17736",23,0,0,0,0,0,33,0,7,26,48,0.4,17.92,69.42,0,0,1.467,0,"08-01-2013",0,17,25,23,18,13,21,16,15,19,25,39,1
"17737",20,0,0,0,0,0,30,0,7,23,48,0.3,16.75,79.17,0,0,1.879,0,"09-01-2013",100,16,20,23,16,15,20,16,14,15,21,30,2
"17738",21,0,0,0,0,0,28,0,9,20,48,0.3,16.02,83.67,0,0,1.575,0,"09-01-2013",200,23,19,14,17,16,19,17,15,18,21,21,3
"17739",18,0,0,0,0,0,29,0,9,21,48,0.3,15.55,86.17,0,0,1.317,0,"09-01-2013",300,25,18,17,25,18,17,21,15,17,15,21,4
"17740",15,0,0,0,0,0,33,0,9,18,48,0.3,13.99,94.08,0,0,2.231,0,"09-01-2013",400,24,21,19,28,19,22,23,16,20,14,24,5
"17741",21,0,0,0,0,0,42,0,18,15,48,0.3,13.56,97.5,0,0,1.892,0,"09-01-2013",500,27,26,19,25,23,24,31,20,26,20,26,6
"17742",24,0,0,0,0,0,48,0,22,21,48,0.4,13.86,38.92,0,0,1.803,0,"09-01-2013",600,32,35,19,35,39,32,31,31,35,27,41,7
"17743",34,0,0,0,0,0,39,0,19,24,48,0.4,14.6,72.58,0,0,2.105,0,"09-01-2013",700,28,23,18,39,31,29,32,33,34,25,43,8
"17744",33,0,0,0,0,0,37,0,20,34,43,0.4,17.21,83.58,0,0,2.115,0,"09-01-2013",800,21,19,24,25,27,28,24,21,28,23,49,9
"17745",30,0,0,0,0,0,43,0,20,33,43,0.4,19.95,68.5,0,0,2.495,0,"09-01-2013",900,23,20,20,16,26,32,16,19,23,25,52,10
"17746",29,0,0,0,0,0,29,0,21,30,43,0.4,22.64,54.58,0,0,2.922,0,"09-01-2013",1000,24,23,17,27,21,19,19,16,19,24,48,11
"17747",29,0,0,0,0,0,22,0,22,29,37,0.3,25.44,43.5,0,0,2.931,0,"09-01-2013",1100,26,19,18,21,31,17,24,9,26,29,63,12
"17748",36,0,0,0,0,0,25,0,18,29,37,0.3,27.46,35.92,0,0,3.805,0,"09-01-2013",1200,20,17,28,10,16,16,17,12,15,22,60,13
"17749",33,0,0,0,0,0,37,0,20,36,37,0.3,28.72,37,0,0,4.737,0,"09-01-2013",1300,10,10,29,15,17,7,8,10,11,23,62,14
"17750",31,0,0,0,0,0,37,0,15,33,37,0.2,29.07,35.25,0,0,6.403,0,"09-01-2013",1400,20,3,17,10,10,12,11,13,15,16,82,15
"17751",39,0,0,0,0,0,28,0,14,31,37,0.2,29.16,32.75,0,0,6.796,0,"09-01-2013",1500,17,32,14,26,18,28,17,15,17,18,82,16
"17752",30,0,0,0,0,0,34,0,16,39,39,0.2,27.9,36,0,0,7.474,0,"09-01-2013",1600,24,22,18,27,18,10,21,20,22,18,91,17
"17753",22,0,0,0,0,0,23,0,18,30,39,0.2,25.92,40.67,0,0,7.298,0,"09-01-2013",1700,23,33,25,27,25,29,22,16,21,22,64,18
"17754",23,0,0,0,0,0,19,0,18,22,39,0.2,24.17,43.08,0,0,6.809,0,"09-01-2013",1800,23,30,30,26,25,22,20,16,21,30,35,19
"17755",19,0,0,0,0,0,34,0,15,23,39,0.2,22.57,47,0,0,4.519,0,"09-01-2013",1900,28,29,26,25,27,18,24,24,27,26,55,20
"17756",17,0,0,0,0,0,23,0,10,19,39,0.2,20.38,55.33,0,0,4.387,0,"09-01-2013",2000,25,35,32,19,23,18,32,25,28,27,62,21
"17757",14,0,0,0,0,0,19,0,10,17,39,0.2,18.72,61.42,0,0,4.122,0,"09-01-2013",2100,21,29,31,24,22,21,29,18,24,26,70,22
"17758",14,0,0,0,0,0,18,0,8,14,39,0.2,17.79,65.58,0,0,2.5,0,"09-01-2013",2200,19,35,28,29,18,20,25,18,21,26,59,23
"17759",11,0,0,0,0,0,26,0,10,14,39,0.1,16.72,71.17,0,0,3.112,0,"09-01-2013",2300,15,19,27,25,19,19,25,16,21,44,21,24
"17760",10,0,0,0,0,0,0,23,7,11,39,0.1,15.9,75.08,0,0,2.028,0,"09-01-2013",0,30,14,24,31,19,17,32,13,21,36,21,1
"17761",12,0,0,0,0,0,0,20,6,10,39,0.2,14.92,79.83,0,0,1.791,0,"10-01-2013",100,15,25,26,26,17,22,29,10,20,30,22,2
"17762",12,0,0,0,0,0,0,21,6,12,39,0.2,14.42,82.42,0,0,1.189,0,"10-01-2013",200,13,23,20,30,17,15,30,11,12,26,26,3
"17763",11,0,0,0,0,0,0,18,7,12,39,0.2,13.55,87.25,0,0,1.809,0,"10-01-2013",300,16,19,18,31,18,15,33,14,17,23,19,4
"17764",12,0,0,0,0,0,0,15,8,11,39,0.2,13.11,89.33,0,0,1.568,0,"10-01-2013",400,18,24,22,25,16,14,34,14,17,24,26,5
"17765",23,0,0,0,0,0,0,21,9,12,39,0.3,12.88,90.67,0,0,1.063,0,"10-01-2013",500,29,33,19,23,21,13,37,17,21,27,34,6
"17766",38,0,0,0,0,0,0,24,12,23,39,0.5,13.51,87.58,0,0,1.164,0,"10-01-2013",600,50,34,24,29,34,19,45,25,29,37,41,7
"17767",38,0,0,0,0,0,0,34,12,38,39,0.7,15.71,78.75,0,0,1.433,0,"10-01-2013",700,51,34,21,39,45,20,42,29,40,37,39,8
"17768",36,0,0,0,0,0,0,33,12,38,39,0.7,19.19,64.42,0,0,1.021,0,"10-01-2013",800,34,35,19,32,38,18,37,27,31,29,73,9
"17769",33,0,0,0,0,0,0,30,12,36,39,0.5,22.32,52.5,0,0,1.372,0,"10-01-2013",900,27,31,33,28,28,21,29,23,24,31,76,10
"17770",36,0,0,0,0,0,0,29,8,33,39,0.4,25.02,43.08,0,0,1.691,0,"10-01-2013",1000,27,18,31,33,25,22,22,21,24,27,113,11
"17771",31,0,0,0,0,0,0,29,12,36,39,0.3,26.37,41.17,0,0,3.202,0,"10-01-2013",1100,28,23,33,32,30,23,25,23,28,24,76,12
"17772",30,0,0,0,0,0,0,36,8,31,39,0.3,27.76,38.25,0,0,4.36,0,"10-01-2013",1200,21,24,33,29,30,21,20,16,19,32,82,13
"17773",18,0,0,0,0,0,0,33,9,30,39,0.3,28.79,36.5,0,0,4.539,0,"10-01-2013",1300,28,15,27,21,18,22,20,17,17,24,67,14
"17774",30,0,0,0,0,0,0,31,9,18,39,0.3,30.32,28.5,0,0,4.416,0,"10-01-2013",1400,22,23,18,27,23,22,27,18,26,22,75,15
"17775",18,0,0,0,0,0,0,39,6,30,39,0.3,30.73,27.58,0,0,5.536,0,"10-01-2013",1500,25,30,30,21,22,19,28,24,26,22,72,16
"17776",29,0,0,0,0,0,0,30,18,18,39,0.3,30.4,25.83,0,0,6.223,0,"10-01-2013",1600,17,18,27,19,20,21,21,15,18,23,66,17
"17777",28,0,0,0,0,0,0,22,13,29,38,0.3,29.65,27,0,0,6.385,0,"10-01-2013",1700,17,25,21,22,22,16,26,22,21,25,48,18
"17778",25,0,0,0,0,0,0,23,14,28,38,0.4,27.84,33.58,0,0,6.27,0,"10-01-2013",1800,24,33,26,20,25,16,21,17,19,19,38,19
"17779",19,0,0,0,0,0,0,19,14,25,38,0.4,25.09,41.08,0,0,5.555,0,"10-01-2013",1900,21,26,22,19,20,11,20,17,20,22,76,20
"17780",18,0,0,0,0,0,0,17,12,19,38,0.4,22.72,46,0,0,4.56,0,"10-01-2013",2000,17,35,26,18,16,12,20,14,18,19,48,21
"17781",20,0,0,0,0,0,0,14,11,18,38,0.5,21.75,45.92,0,0,2.875,0,"10-01-2013",2100,21,20,22,20,16,17,18,15,17,31,39,22
"17782",64,0,0,0,0,0,0,14,9,20,38,0.4,21.21,45.67,0,0,2.81,0,"10-01-2013",2200,16,15,24,24,16,11,18,14,17,26,38,23
"17783",35,0,0,0,0,0,0,11,9,64,64,0.7,21,48.67,0,0,1.156,0,"10-01-2013",2300,15,17,22,24,15,10,20,13,16,21,40,24
"17784",17,0,0,0,0,10,0,0,11,35,64,0.5,18.77,60.33,0,0,1.571,0,"10-01-2013",0,15,18,23,25,16,9,17,12,14,19,44,1
"17785",14,0,0,0,0,12,0,0,13,17,64,0.3,16.95,69.58,0,0,1.73,0,"11-01-2013",100,12,14,18,17,14,8,12,8,12,22,47,2
"17786",15,0,0,0,0,12,0,0,11,14,64,0.3,16.25,73.33,0,0,1.263,0,"11-01-2013",200,11,15,22,21,12,9,13,9,11,21,23,3
"17787",19,0,0,0,0,11,0,0,15,15,64,0.3,16.01,74.67,0,0,0.6636,0,"11-01-2013",300,13,14,17,14,12,9,13,10,12,14,19,4
"17788",27,0,0,0,0,12,0,0,18,19,64,0.4,16,74.67,0,0,1.073,0,"11-01-2013",400,13,16,20,14,15,10,15,14,13,15,19,5
"17789",34,0,0,0,0,23,0,0,33,27,64,0.5,15.67,76,0,0,0,0.2898,"11-01-2013",500,13,17,19,16,15,10,16,11,16,14,26,6
"17790",45,0,0,0,0,38,0,0,25,34,64,0.6,16.97,71.33,0.9028,0,0,0,"11-01-2013",600,24,21,25,19,16,10,19,16,18,25,31,7
"17791",35,0,0,0,0,38,0,0,21,45,64,0.7,19.82,61.08,0,0,0.77,0,"11-01-2013",700,15,25,23,37,26,14,27,20,23,27,53,8
"17792",35,0,0,0,0,36,0,0,20,35,64,0.6,22.57,48.58,0,0,0.9652,0,"11-01-2013",800,24,32,25,48,29,15,27,22,24,30,55,9
"17793",50,0,0,0,0,33,0,0,29,35,64,0.4,25.55,37.08,0,0,0.9369,0,"11-01-2013",900,27,39,25,35,31,18,26,21,23,36,57,10
"17794",41,0,0,0,0,36,0,0,36,50,64,0.4,27.3,35.17,0,0,1.885,0,"11-01-2013",1000,23,38,29,26,26,18,27,20,23,49,66,11
"17795",49,0,0,0,0,31,0,0,26,41,64,0.4,28.78,33,0,0,3.214,0,"11-01-2013",1100,25,27,37,26,25,22,23,22,23,30,71,12
"17796",26,0,0,0,0,30,0,0,14,49,64,0.4,29.76,30.33,0,0,3.887,0,"11-01-2013",1200,29,27,31,29,32,18,27,23,27,29,56,13
"17797",26.11,0,0,0,0,18,0,0,16,26,64,0.3,30.56,25.92,0,0,4.15,0,"11-01-2013",1300,25,27,31,22,29,16,28,19,24,32,70,14
"17798",23.5,0,0,0,0,30,0,0,29,26.11,64,0.3,31,24.22,0,0,5.181,0,"11-01-2013",1400,21,20,33,22,25,16,23,18,21,29,115,15
"17799",10,0,0,0,0,18,0,0,27,23.5,64,0.2,23.61,36.42,0,0,0,2.625,"11-01-2013",1500,22,26,31,28,25,16,26,20,22,28,139,16
"17800",12,0,0,0,0,29,0,0,16,10,64,0.2694,21.31,67.67,0,0,4.036,0,"11-01-2013",1600,24,29,31,29,28,13,29,22,26,28,95,17
"17801",2,0,0,0,0,28,0,0,19,12,64,0.3542,14.79,90.08,0,0,1.169,0,"11-01-2013",1700,21,26,32,26,25,12,25,20,23,26,42,18
"17802",0,0,0,0,0,25,0,0,25,2,64,0.2015,28.28,15.42,3.536,0,0,0,"11-01-2013",1800,21,30,29,25,23,9,27,18,21,25,34,19
"17803",0,0,0,0,0,19,0,0,19,0,64,0.4,24.77,40.08,0,0,5.706,0,"11-01-2013",1900,20,28,26,21,19,8,22,17,20,20,43,20
"17804",24,0,0,0,0,18,0,0,20,0,64,0.4,23.26,42.17,0,0,4.395,0,"11-01-2013",2000,12,20,25,18,12,7,18,13,16,20,35,21
"17805",19,0,0,0,0,20,0,0,23,24,64,0.3,21.97,45.25,0,0,3.542,0,"11-01-2013",2100,13,33,26,19,13,7,20,13,16,26,42,22
"17806",16,0,0,0,0,64,0,0,22,19,64,0.3,21.07,48.5,0,0,3.137,0,"11-01-2013",2200,11,11,23,21,11,6,20,13,15,20,45,23
"17807",17,0,0,0,0,35,0,0,19,16,64,0.3,20.83,48.83,0,0,2.61,0,"11-01-2013",2300,12,14,23,25,12,7,23,11,15,17,47,24
"17808",20,17,0,0,0,0,0,0,25,17,50,0.4,19.96,54.08,0,0,0.9215,0,"11-01-2013",0,14,15,22,32,15,6,21,11,14,17,45,1
"17809",18,14,0,0,0,0,0,0,17,20,50,0.3,18.46,63.58,0,0,1.291,0,"12-01-2013",100,13,17,24,25,16,7,25,15,15,16,40,2
"17810",21,15,0,0,0,0,0,0,17,18,50,0.2,16.78,74.5,0,0,1.707,0,"12-01-2013",200,11,16,20,25,16,10,22,13,17,19,39,3
"17811",21,19,0,0,0,0,0,0,17,21,50,0.3,16.38,77.17,0,0,1.346,0,"12-01-2013",300,13,16,25,26,15,6,19,11,12,22,39,4
"17812",23,27,0,0,0,0,0,0,25,21,50,0.2,16.25,66.42,0,0,0,0.4888,"12-01-2013",400,18,18,25,33,19,8,31,10,13,22,37,5
"17813",33,34,0,0,0,0,0,0,44,23,50,0.4,16.11,78.91,0,0,1.214,0,"12-01-2013",500,15,18,24,30,21,8,22,13,14,24,40,6
"17814",51,45,0,0,0,0,0,0,75,33,50,0.6,17.18,74.75,0,0.4811,0,0,"12-01-2013",600,14,22,31,34,24,8,17,15,15,30,51,7
"17815",43,35,0,0,0,0,0,0,57,51,51,0.8,20.1,61.92,0,0,0.9793,0,"12-01-2013",700,14,30,26,36,31,11,25,20,20,39,48,8
"17816",31,35,0,0,0,0,0,0,37,43,51,0.6,21.67,55.42,0,0,1.645,0,"12-01-2013",800,17,30,27,28,26,10,23,19,20,35,56,9
"17817",32,50,0,0,0,0,0,0,36,31,51,0.3,23.39,47.75,0,0,2.643,0,"12-01-2013",900,19,24,30,19,22,15,17,18,19,34,51,10
"17818",30,41,0,0,0,0,0,0,31,32,51,0.3,25.85,40.08,0,0,2.618,0,"12-01-2013",1000,17,24,36,22,21,18,21,21,19,28,49,11
"17819",20,49,0,0,0,0,0,0,24,30,51,0.3,26.73,39.08,0,0,3.983,0,"12-01-2013",1100,19,26,30,21,25,21,24,20,21,25,44,12
"17820",25,26,0,0,0,0,0,0,26,20,51,0.2,27.1,37.83,0,0,5.929,0,"12-01-2013",1200,24,21,31,21,24,21,22,20,20,27,40,13
"17821",26,26.11,0,0,0,0,0,0,28,25,51,0.2,27.57,36,0,0,6.859,0,"12-01-2013",1300,22,10,28,17,20,20,21,20,20,24,36,14
"17822",20,23.5,0,0,0,0,0,0,35,26,51,0.2,27.56,35.08,0,0,7.081,0,"12-01-2013",1400,23,15,25,21,24,18,22,23,22,23,33,15
"17823",16,10,0,0,0,0,0,0,28,20,51,0.2,28,32.75,0,0,6.312,0,"12-01-2013",1500,20,17,23,18,21,14,25,20,19,19,31,16
"17824",18,12,0,0,0,0,0,0,25,16,51,0.2,27.97,31.42,0,0,6.634,0,"12-01-2013",1600,20,19,28,18,23,9,60,17,18,20,25,17
"17825",17,2,0,0,0,0,0,0,19,18,51,0.2,27.45,31.33,0,0,6.969,0,"12-01-2013",1700,15,20,22,17,18,10,14,16,15,18,22,18
"17826",13,0,0,0,0,0,0,0,17,17,51,0.2,25.88,34.33,0,0,6.228,0,"12-01-2013",1800,16,24,19,12,17,11,17,14,17,18,25,19
"17827",16,0,0,0,0,0,0,0,15,13,51,0.2,23.51,38.92,0,0,5.43,0,"12-01-2013",1900,16,29,18,16,17,9,16,16,16,17,21,20
"17828",17,24,0,0,0,0,0,0,11,16,51,0.2,21.91,43.67,0,0,4.379,0,"12-01-2013",2000,15,11,18,15,15,9,16,13,16,18,22,21
"17829",16,19,0,0,0,0,0,0,10,17,51,0.2,20.85,52.75,0,0,2.854,0,"12-01-2013",2100,12,11,18,15,12,9,12,14,15,19,23,22
"17830",13,16,0,0,0,0,0,0,10,16,51,0.2,20.13,57.5,0,0,2.655,0,"12-01-2013",2200,11,11,20,14,11,8,14,11,17,19,23,23
"17831",15,17,0,0,0,0,0,0,9,13,51,0.2,19.59,58.92,0,0,2.326,0,"12-01-2013",2300,11,13,17,15,12,10,16,13,14,21,38,24
"17832",15,0,0,0,20,0,0,0,9,15,51,0.2,19.05,61.67,0,0,1.937,0,"12-01-2013",0,12,10,19,13,10,9,14,11,12,14,27,1
"17833",13,0,0,0,18,0,0,0,10,15,51,0.2,18.39,66.17,0,0,1.024,0,"13-01-2013",100,13,11,19,8,13,9,13,13,15,12,24,2
"17834",15,0,0,0,21,0,0,0,10,13,51,0.2,16.82,75.67,0,0,1.437,0,"13-01-2013",200,14,14,14,21,13,6,14,12,15,14,14,3
"17835",16,0,0,0,21,0,0,0,15,15,51,0.3,16.01,80.58,0,0,0.8783,0,"13-01-2013",300,10,16,14,24,14,6,15,14,15,19,17,4
"17836",19,0,0,0,23,0,0,0,20,16,51,0.3,15.99,80.17,0,0,0.7563,0,"13-01-2013",400,12,16,12,13,14,8,16,14,13,23,21,5
"17837",32,0,0,0,33,0,0,0,27,19,51,0.4,15.86,79.92,0,0,0.69,0,"13-01-2013",500,11,17,13,15,14,7,15,12,15,26,26,6
"17838",41,0,0,0,51,0,0,0,27,32,51,0.7,16.63,76.67,0,0,0.7157,0,"13-01-2013",600,11,13,23,18,12,7,14,13,14,29,20,7
"17839",21,0,0,0,43,0,0,0,23,41,51,0.8,20.71,59.75,0,0,0.3211,0,"13-01-2013",700,13,15,18,15,15,6,15,12,13,28,24,8
"17840",30,0,0,0,31,0,0,0,28,21,43,0.4,22.17,50,0,0,0.8474,0,"13-01-2013",800,16,17,24,17,21,6,17,15,19,26,26,9
"17841",31,0,0,0,32,0,0,0,24,30,41,0.5,24.27,44.08,0,0,1.243,0,"13-01-2013",900,17,21,24,17,23,10,20,17,17,25,35,10
"17842",30,0,0,0,30,0,0,0,20,31,41,0.4,26.38,38.92,0,0,1.726,0,"13-01-2013",1000,24,22,25,15,20,9,30,22,24,24,24,11
"17843",26,0,0,0,20,0,0,0,21,30,41,0.3,27.77,37.83,0,0,2.706,0,"13-01-2013",1100,9,24,26,16,23,12,22,13,13,28,25,12
"17844",21,0,0,0,25,0,0,0,35,26,41,0.3,29.05,34.75,0,0,3.578,0,"13-01-2013",1200,10,15,24,12,14,13,17,15,14,21,20,13
"17845",18,0,0,0,26,0,0,0,26,21,41,0.2,29.91,31.17,0,0,5.461,0,"13-01-2013",1300,12,13,20,9,14,13,19,14,16,15,15,14
"17846",21,0,0,0,20,0,0,0,31,18,41,0.2,30.78,27.08,0,0,5.01,0,"13-01-2013",1400,15,14,19,11,15,13,18,18,19,16,21,15
"17847",16,0,0,0,16,0,0,0,33,21,41,0.2,31.06,26.42,0,0,5.492,0,"13-01-2013",1500,15,15,15,24,17,12,18,15,18,14,25,16
"17848",7,0,0,0,18,0,0,0,30,16,41,0.2,30.07,26.92,0,0,6.8,0,"13-01-2013",1600,13,12,15,9,16,10,14,10,12,14,22,17
"17849",15,0,0,0,17,0,0,0,29,7,41,0.2,29.32,22.17,0,0,6.513,0,"13-01-2013",1700,12,13,11,12,16,9,13,11,12,13,26,18
"17850",15,0,0,0,13,0,0,0,25,15,41,0.2,27.46,22.42,0,0,6.873,0,"13-01-2013",1800,12,16,12,15,15,7,13,10,12,13,21,19
"17851",18,0,0,0,16,0,0,0,22,15,41,0.2,24.77,28.25,0,0,5.507,0,"13-01-2013",1900,11,8,14,11,13,7,12,8,11,13,18,20
"17852",19,0,0,0,17,0,0,0,23,18,41,0.2,22.68,34.42,0,0,4.323,0,"13-01-2013",2000,9,9,13,7,10,7,11,6,10,10,18,21
"17853",12,0,0,0,16,0,0,0,18,19,41,0.3,21.08,43.42,0,0,3.151,0,"13-01-2013",2100,9,7,12,9,10,19,11,9,10,11,20,22
"17854",9,0,0,0,13,0,0,0,17,12,41,0.3,19.94,48.17,0,0,2.499,0,"13-01-2013",2200,8,7,10,8,9,10,9,7,10,10,20,23
